opaque_case_token,incident_class,injection_channel,injection_object_id,ordered_event_ids,tool_action,affected_resource_ids,external_effect,confidence_0_100,supporting_event_ids,start_time_utc,submit_time_utc
CASE-c70575e0ce6aab70,malicious,user,EVT-ca4dbc0774df7244,"EVT-ca4dbc0774df7244,EVT-980ec8d0bcd158c5,EVT-97e1eae0963f283f",unknown,,no,88,"EVT-ca4dbc0774df7244,EVT-980ec8d0bcd158c5,EVT-97e1eae0963f283f",2026-09-12T16:45:00Z,2026-09-12T16:46:30Z
CASE-0a937d84e7014c01,benign,none,,,completed,,yes,80,"EVT-779b2985bf4040d0,EVT-9cd39059e880678f,EVT-43e87b5910f50fbb,EVT-8eca303cdd8a0c73,EVT-d224b71592f1ab4b",2026-09-12T16:47:00Z,2026-09-12T16:48:30Z
CASE-f577bd358c1c8e4b,malicious,user,EVT-53f7c4efc9d6f6f7,"EVT-53f7c4efc9d6f6f7,EVT-9e434672d1142682",unknown,,unknown,88,"EVT-53f7c4efc9d6f6f7,EVT-9e434672d1142682",2026-09-12T16:49:00Z,2026-09-12T16:50:30Z
CASE-ca1e007f60671088,benign,none,,,none,,no,80,"EVT-67d3b886f3e96ab0,EVT-09165d55a221ab62,EVT-228fac52a6f7566f",2026-09-12T16:51:00Z,2026-09-12T16:52:30Z
CASE-0ca0a87172d7a0e3,indeterminate,unknown,unknown,,unknown,,unknown,15,EVT-3c07b83bb3ba6f58,2026-09-12T16:53:00Z,2026-09-12T16:54:30Z
CASE-d0b2c9dc661e3a99,benign,none,,,none,,no,80,"EVT-4b338f13ced0c41c,EVT-a233338450a799e0",2026-09-12T16:55:00Z,2026-09-12T16:56:30Z
CASE-50e6ab5938971c2d,malicious,unknown,unknown,"EVT-f9318de9696d9ddd,EVT-bd53aaced097cf3b,EVT-3d3f13bc49634036,EVT-938eda62a2bac8fa",completed,record_13,no,55,"EVT-f9318de9696d9ddd,EVT-bd53aaced097cf3b,EVT-3d3f13bc49634036,EVT-938eda62a2bac8fa",2026-09-12T16:57:00Z,2026-09-12T16:58:30Z
CASE-a4004cf0fdf5a844,malicious,user,EVT-bc7c532e13f38203,"EVT-bc7c532e13f38203,EVT-45b142df6519bae5,EVT-f8edbb49f940df68",none,,no,88,"EVT-bc7c532e13f38203,EVT-45b142df6519bae5,EVT-f8edbb49f940df68",2026-09-12T16:59:00Z,2026-09-12T17:00:30Z
CASE-3e648584c9c5e1bc,malicious,unknown,unknown,"EVT-72cb2113d1353437,EVT-02d2ca6a677effb7,EVT-ca22e3b076af488d,EVT-5d09da5c07486d8f,EVT-6a84a10843ba038e,EVT-d352e520f22e2ba8,EVT-54fd983f69e3e264",completed,golf_service_status,no,55,"EVT-72cb2113d1353437,EVT-02d2ca6a677effb7,EVT-ca22e3b076af488d,EVT-5d09da5c07486d8f,EVT-6a84a10843ba038e,EVT-d352e520f22e2ba8,EVT-54fd983f69e3e264",2026-09-12T17:01:00Z,2026-09-12T17:02:30Z
CASE-0cc9b4a37b6e0e1f,indeterminate,unknown,unknown,,unknown,,unknown,15,EVT-c731e21340338921,2026-09-12T17:03:00Z,2026-09-12T17:04:30Z
CASE-5b88a3c030f4fa8e,malicious,user,EVT-266ae529a8c1a67f,"EVT-266ae529a8c1a67f,EVT-88d37fd7c91e3395,EVT-a3bc3308255ba076",none,,no,88,"EVT-266ae529a8c1a67f,EVT-88d37fd7c91e3395,EVT-a3bc3308255ba076",2026-09-12T17:05:00Z,2026-09-12T17:06:30Z
CASE-d67e670838c5b827,indeterminate,unknown,unknown,,unknown,,unknown,15,EVT-6fe03f3de3714981,2026-09-12T17:07:00Z,2026-09-12T17:08:30Z
CASE-a8eaa9b3fcb87c8b,malicious,unknown,unknown,"EVT-01500c7dbbd62996,EVT-798aa2fd5c9489a9,EVT-c3f19732fe8cc357",unknown,,no,55,"EVT-01500c7dbbd62996,EVT-798aa2fd5c9489a9,EVT-c3f19732fe8cc357",2026-09-12T17:09:00Z,2026-09-12T17:10:30Z
CASE-818bbdc3d2fc36bf,malicious,rag_corpus,DOC-75f331bd1c-C1,"EVT-462c2f4420b83653,EVT-537b29c6293988dc,EVT-001ee3588adf21aa,EVT-1785ded6d72b1055,EVT-a2126b069dc4695e",completed,record_04,no,82,"EVT-462c2f4420b83653,EVT-537b29c6293988dc,EVT-001ee3588adf21aa,EVT-1785ded6d72b1055,EVT-a2126b069dc4695e",2026-09-12T17:11:00Z,2026-09-12T17:12:30Z
CASE-9ce45fb364c55bf9,benign,none,,,none,,no,80,"EVT-0cf0de2d4879a546,EVT-0b92768141c34ccc,EVT-037e0865a2543507,EVT-ce4a5f88a83183f6,EVT-d1e24835db34cbc7",2026-09-12T17:13:00Z,2026-09-12T17:14:30Z
CASE-2af4edde51756bef,malicious,rag_corpus,DOC-21a310b6be-C1,"EVT-c46dc5f2121938fd,EVT-e0dbda05a0ffb696,EVT-2c1c45baa4a44134,EVT-b4f23aaad71ab93f",unknown,,no,82,"EVT-c46dc5f2121938fd,EVT-e0dbda05a0ffb696,EVT-2c1c45baa4a44134,EVT-b4f23aaad71ab93f",2026-09-12T17:15:00Z,2026-09-12T17:16:30Z
